Varchar(150),Varchar(150),Varchar(150),INT,Varchar(6),Varchar(50),Varchar(35),nvarchar(50),nvarchar(50),nvarchar(50),nvarchar(50),Varchar(50),,,Bit,"numeric(18,2)","numeric(18,2)",int,"numeric(18,2)",,Varchar(15)
PRAJAPITA BRAHMA KUMARIS ISHWARIYA,PRABHU PRASAD  ABU RAOD  BLOCK THAL,,ABU ROAD,307510, , ,,,,,1000934,MG08,Distributor,,1,0,,,,
BRIDGE AND ROOF CO.(INDIA) LTD,PRE-TREATMENT PLANT PROJECT SITE  C,,MEJA,212301, ,9918554777,,,,,1000936,MG04,Distributor,,1,-53219,,,,
LAKSHMI VENKATESHWARA AGENCIES,OPP. NAVODAYA HIGH SCHOOL  B.M.ROAD,,CHANNARAYA,573116, ,9481333317,,,,,1000939,MG03,Distributor,,1,-1321,,,,
GE INDIA INDUSTRIAL PRIVATE LIMITED,(GE WATER & PROCESS TECHNOLOGIES) ,,MUMBAI,400093, , ,,,,,1000940,MG04,Distributor,,1,-35413.8,,,,
SHANKARA INFRASTRUCTURE MATERIALS L,NO. 36 & 37.2ND CROSS  H.SIDDAIAH R,,BANGALORE,560027, , ,,,,,1000559,MG03,Distributor,,20000000,-23151098.28,,,,
JAY VENKTESHAR TILES & SANITARY WAR,NAVA MONDHA  DIST: HINGOLI,,HINGOLI,431513,jaivenkateshwaratiles@gmail.com, ,,,,,1000561,MG02,Distributor,,500000,4166.83,,,,
SADHANA ENTERPRISES,B 21/150  KAMACHHA ,,VARANASI,221010,nycetile@gmail.com,9839061122,,,,,1000562,MG07,Distributor,,2000000,-5631,,,,
SAGAR ENTERPRISES,C/23 PANCHSHEEL VIHAR (KHIRKI VILLA,,NEW DELHI,110017,astralcpvc@gmail.com,9811022669,,,,,1000563,MG07,Distributor,,10600000,-10417272.22,,,,
S.S. & M.S. ENTERPRISES,1734 / 3740  SABAR SAHI LANE  CUTTA,,BHUBANESWAR,751014,prakashsupply@rediffmail.com, ,,,,,1000564,MG08,Distributor,,1900000,-2554426.7,,,,
UNICK PLASTIC SYSTEMS PRIVATE LIMIT,23 NIGO'S BUILDING CAMA INDUSTRIAL,,MUMBAI,400063,mmarfatia@yahoo.co.in,9820560732,,,,,1000792,MG10,Distributor,,1,3753,,,,
UNIVERSAL PLUMBING SYSTEMS,BLDING NO: 11/64 PAREL BUILDING  OL,,CALICUT,673019,universalclt@ymail.com, ,,,,,1000794,MG06,Distributor,,4100000,-5801779,,,,
UNIVERSAL ELECTRIC COMPANY,LADOWALI ROAD OPP PCM SD COLLGIATE ,,JALANDHAR,144001, ,9814630751,,,,,1000795,MG08,Distributor,,2000000,186124,,,,
DAS TECHNO ENGINEERS (I) PVT LTD,GKV - 75  GATI KRISHNA VILLA  BRAMH,,BHUBANESWAR,751018,biplab@dastechnoengineers.com, ,,,,,1000935,MG08,Distributor,,1,0,,,,
SAI KRISHNA ELECTRICALS & ENGINEERI,H.NO.:1-12/10 MAIN ROAD  KARIM NAGA,,MANTHANI,505184,texmomanthani@gmail.com,9440525292,,,,,1000937,MG08,Distributor,,1,32970,,,,
ANAND TRADERS,BELOW IOB BANK  M.G.ROAD  ARMOOR,,NIZAMABAD,503224,anandtraders@finolex.com, ,,,,,1000938,MG08,Distributor,,1,357,,,,
GODAVARI RICE MILL STORES,43-7-29 30 ,,KAKINADA,533001,godavariricemillstores@rediffmail.com,9848160987,,,,,1001043,MG01,Distributor,,1,0,,,,
VIRKRUPA INDUSTRIES,795/5/4  PATEL ESTATE ,,RAKANPUR,382721, , ,,,,,1001044,MG11,Distributor,,1,691,,,,
GUJARAT AMBUJA EXPORTS LIMITED,UTTARAKHAND-POWER PLANT,,UDHAM SINGH NAGAR,262405, , ,,,,,1001045,MG04,Distributor,,1,0,,,,
MANGAL MURTI IMPEX,H-1  RAVI ESTATE ,,AHMEDABAD,380004, , ,,,,,1001046,MG11,Distributor,,1,-1416,,,,
MEET MARKETING (I) PVT. LTD.,MEET HOUSE 422  SATYA GRAH CHHAVA,,AHMEDABAD,380015, , ,,,,,1001047,MG11,Distributor,,1,-493876,,,,
RAVI TRADERS,2/3  AYODHYA SHOPPING CENTRE ,,DHOLKA,387810, , ,,,,,1001048,MG11,Distributor,,1,-7136,,,,
ION EXCHANGE PROJECTS AND ENGINEERI,HOUSE NO.102  1ST FLOOR,,GURGAON,122001, , ,,,,,1001049,MG04,Distributor,,1,-3643,,,,
SHILP GRAVURES LIMITED,780 PRAMUKH INDUSTRIAL ESTATE ,,RAKANPUR,382721, , ,,,,,1001050,MG11,Distributor,,1,0,,,,
VALERA BROS. & CO.,A/8  BHOLESHWAR IND. ESTATE ,,AHMEDABAD,380024, , ,,,,,1001051,MG11,Distributor,,1,-427428,,,,
S.B AJMERA & CO.,232 MASJID BUNDER ROAD  CORNER OF N,,MUMBAI,400003, , ,,,,,1000541,MG10,Distributor,,1,-277433.69,,,,
SOBHA DEVELOPERS LTD,SARJAPUR-MARATHAHALLI OUTER RING RO,,BANGALORE,560103, , ,,,,,1000542,MG03,Distributor,,1,-816709.89,,,,
GANDHI MACHINERY & HARDWARE,NEAR S.B.I.,,OSMANABAD,413501,milindgandhi72@gmail.com,9422465824,,,,,1000543,MG02,Distributor,,1,0,,,,
SUDHAKARAN NAIR & CO.PVT. LTD. BANG,ESSENCO HOUSE  537  `B' BLOCK  ACES,,BANGALORE,560037, , ,,,,,1000544,MG03,Distributor,,1,0,,,,
SUU-BAG ENGINEERING & PIPING SYSTEM,225  DEVASHREE GARDEN  R.W. SAWANT,,THANE,400601, , ,,,,,1000545,MG04,Distributor,,1,-29481.75,,,,
SIEL CHEMICAL COMPLEX,CHARATRAMPUR VILL.KHADAULI/SARDARGA,,RAJPURA,140401, , ,,,,,1000546,MG04,Distributor,,1,0,,,,
SHRI PANCHAMUKHI ENGINEERING & MKTI,PLOT NO: 3  GOPABANDHU SQUARE    FI,,BHUBANESWAR,751012,bigyan@idomail.com,94370211409,,,,,1000547,MG08,Distributor,,900000,-3173433.4,,,,
SHAHA SALES AGENCIES,ASHOK NAGAR,,NIPANI,591237, ,9448132258,,,,,1000548,MG03,Distributor,,1000000,-288750,,,,
SANKET TRADING,A/26  KHAND UDYOG CO.OP.HOUSING SOC,,SURAT,394305, ,9824188047,,,,,1000549,MG04,Distributor,,1,0,,,,
SHAILESH & CO.,SHOP NO. 2  BIBIJAN STREET (NAGDEVI,,MUMBAI,400003,shaileshhgoyal@gmail.com,98929901239,,,,,1000550,MG10,Distributor,,8400000,-12383290,,,,
S. SOMANATHAN NAIR & BROTHERS,KUMARAPURAM P.O. ,,HARIPAD,690548,devisales@gmail.com, ,,,,,1000551,MG06,Distributor,,1,0,,,,
SRI RAM PAINTS & HARDWARES,KRISHNA PRABHA AZIZUDDIN ROAD  BU,,MANGALORE,575001,prasadnayak54@gmail.com,9845081448,,,,,1000552,MG03,Distributor,,1700000,434376.37,,,,
SAHIL ENTERPRISE,E-7  NAND DHAM INDUSTRIAL ESTATE ,,MUMBAI,400059,info@sahilmoulds.com,9821092270,,,,,1000553,MG10,Distributor,,1,0,,,,
SAI TRADERS,MYDKUR ROAD  PRODDATUR,,KADAPA,516361, , ,,,,,1000554,MG01,Distributor,,1,0,,,,
STEEL AUTHORITY OF INDIA LIMITED,ROURKELA STEEL PLANT  & FERTILIZER,,ROURKELA,769011, , ,,,,,1000555,MG04,Distributor,,1,0,,,,
SHREE KHODIYAR ENGINEERS (I) PVT. L,7 JASSIKA DR.N.R.KARODA MARG  OFF:S,,MUMBAI,400092,pankaj@khodiyargroup.com, ,,,,,1000556,MG10,Distributor,,1,-40771,,,,
SUPER ENTERPRISE,SHOP.NO.8 DARUL MAMUR BUILDING  STA,,THANE,401203,kisansinghrajput@yahoo.com, ,,,,,1000557,MG10,Distributor,,12500000,-10386591.99,,,,
SAHIL ENTERPRISES,SHOP.NO.4 & 5 ABDUL HAMID MANZIL  O,,PANVEL,410206,sahil_ent@hotmail.com,9820883537,,,,,1000558,MG10,Distributor,,2000000,-1344953.76,,,,
HUDA ENTERPRISES,NEAR KOND MASJID  A/P SAPOLI DIST-R,,DAPOLI,415712,ahdafsales@gmail.com, ,,,,,1000560,MG02,Distributor,,1,82017,,,,
SOBHA DEVELOPERS LIMITED,3RD FLOOR BAHAVANI BUILDING  TECHNO,,THIRUVANANTHAPURAM,695581, , ,,,,,1000565,MG03,Distributor,,1,-591509,,,,
SAPTHAGIRI AGENCIES,NO. 26 17. MUNCIPAL STADIUM COMPLEX,,DAVANGERE,577004, , ,,,,,1000663,MG03,Distributor,,1000000,-583044,,,,
SATGURU ENTERPRISE,NAVAPUR POLICE STATION ROAD  COGRES,,NANDURBAR,425418, , ,,,,,1000664,MG08,Distributor,,1,-3321,,,,
S.S. BATH STUDIO,17 FLAT NO. F-1 GANESHAM RESIDENCY ,,JAIPUR,302021,ssbathstudio@gmail.com,9829217433,,,,,1000665,MG08,Distributor,,20000000,-25114479.5,,,,
SALARPURIA REAL ESTATE PVT LTD. ,4TH FLOOR SALARPURIA WINDSOR  NO. 3,,BANGALORE,560042, , ,,,,,1000666,MG03,Distributor,,1,-2309426,,,,
SAMAL DISTRIBUTORS,MAIN ROAD NEAR S.B.I.  MAIN P.O.,,BARGARH,768028, , ,,,,,1000667,MG08,Distributor,,1,0,,,,
SHRI LAXMI TUBE COMPANY,1-F-42 B.P. ,,FARIDABAD,121001, ,9312403917,,,,,1000668,MG08,Distributor,,1,0,,,,
POOJA ENTERPRISES,383/4 NEAR IDBI BANK  MARKET YARD R,,KARAD,415110,poojakrd@rediffmail.com,8275060414,,,,,1000669,MG02,Distributor,,500000,88521.95,,,,
SRI GANESH SANITARY HOUSE,23   GOPI BOSE LANE  BOWBAZAR,,KOLKATA,700012,sriganeshsanitaryhouse@gmail.com,90885524118,,,,,1000670,MG08,Distributor,,2500000,95026,,,,
SOUTH INDIA CORPORATION,BULLION ARCADE P.V.SAMI ROAD  CHALA,,CALICUT,673002,mail@galaxyassociates.in,9847001185,,,,,1000671,MG06,Distributor,,1,0,,,,
S.AKBER ALLY & CO.,137 B.R.B BASU ROAD ,,KOLKATA,700001,sakberally@gmail.com,9831050825,,,,,1000672,MG08,Distributor,,2000000,50205,,,,
SHRI KRISHNA AGENCIES,JALNA ROAD  JAY PLAZA ,,BEED,431122, , ,,,,,1000673,MG08,Distributor,,2000000,-12447,,,,
SINGHAL MARKETING,BARI PAHARI PATNA MASURHI ROAD ,,PATNA,800007,singhalmarketing123@gmail.com,9431033433,,,,,1000674,MG08,Distributor,,2000000,24929.6,,,,
SATYAM ENTERPRISES,OPP.MARUTHI RICE MILL BUILDING  BEH,,SHIMOGA,577201,satyamenterprise7705@gmail.com,9980084082,,,,,1000675,MG03,Distributor,,2000000,-2949508,,,,
SWASTIK INDIA,10 EMAM KOTHI OLD H.B. ROAD  DEEPAT,,RANCHI,834001, , ,,,,,1000676,MG08,Distributor,,2000000,-19394,,,,
STERLING AND WILSON LTD.,3RD FLOOR CAMPUS CORNER-2  OPP. PRA,,AHMEDABAD,380015, , ,,,,,1000677,MG04,Distributor,,1,-32289,,,,
SREE MAHADEVA DISTRIBUTORS,GANDHI JUNG  CHULLIYODU ROAD ,,SULTHAN BATHERY,673592,sreemahadeva99@gmail.com, ,,,,,1000678,MG06,Distributor,,1000000,-962513,,,,
SHYAM TRADERS,BALAGHAT ROAD ,,GONDIA,441614,agrawalpj@rediffmail.com,9326820004,,,,,1000679,MG10,Distributor,,1,-5483,,,,
SHIVAM ENTERPRISE,VEDANTA ROAD ,,JHARSUGUDA,768201, ,9437059739,,,,,1000681,MG08,Distributor,,1,0,,,,
SWAMI MACHINERY,MONDHA ROAD ,,BASMATNAGAR,431401, , ,,,,,1000683,MG08,Distributor,,2000000,-11429,,,,
SHAKTI PUMP & MOTOR,C.30/25-1-A-9 SRI RAM MACHINERY MAR,,VARANASI,221001, ,9918905895,,,,,1000684,MG07,Distributor,,1500000,-22258,,,,
SATYA ENTERPRISES,17 KSHIRSAGAR SHOPPING COMPLEX,,UJJAIN,456010,satya01.enterprices@gmail.com,87180007519,,,,,1000680,MG08,Distributor,,2000000,73932,,,,
SHRI LAXMI CEMENT UDHYOG,NEAR SOHANLAL DUGGAR GARDEN  FATEHP,,SIKAR,332301,arvindv27@gmail.com, ,,,,,1000682,MG08,Distributor,,2000000,693178,,,,
UNIVERSAL ASSOCIATES,40/3404 T.D. ROAD  .,,ERNAKULAM,682035,univeasso@yahoo.co.in,9447132166,,,,,1000777,MG06,Distributor,,5400000,-1826528,,,,
UNIVERSAL AGENCIES,PRESS ROAD  VOLKART GATE  ,,BHAVNAGAR,364001,universalagencies_bhavnagar@yahoo.com,9426917820,,,,,1000778,MG08,Distributor,,4500000,-1829523,,,,
USHA STORES,SORAB ROAD  .,,SAGARA,577401, , ,,,,,1000779,MG03,Distributor,,1000000,-160419,,,,
ULTRAMINE PRODUCTS INTERNATIONAL,40  STRAND ROAD  3 RD. FLOOR ,,KOLKATA,700001,ultramine@vsnl.net,9830063045,,,,,1000780,MG08,Distributor,,25000000,-22772786.35,,,,
UNITED PIPE TRADERS,PLOT NO. X-49 HINGNA MIDC ,,NAGPUR,440016,uspc84@hotmail.com, ,,,,,1000781,MG10,Distributor,,12400000,2085661.32,,,,
UNIVERSAL SANITARY STORE,1  SHIVA ANCLAVE  OPP. WADIA INSTIT,,DEHRADUN,248001, , ,,,,,1000782,MG07,Distributor,,1,-227927,,,,
UNITED PHOSPHORUS LIMITED,3-11 G I D C VAPI  DISTRICT : VALSA,,VALSAD,396195, , ,,,,,1000783,MG04,Distributor,,1,0,,,,
UNIQUE STEEL PIPE CORPORATION,G.A. ROAD AGRASEN CHOWK  GANDHI BAU,,NAGPUR,440018,uspc84@hotmail.com,9323073860,,,,,1000784,MG10,Distributor,,1,0,,,,
UNITED PHOSPORUS LTD.,750  GIDC  P.O BOX NO. 9  JHAGADIA ,,BHARUCH,393110, , ,,,,,1000785,MG04,Distributor,,1,0,,,,
UNIVERSAL PIPES,35/574/C PAREL BUILDING OPP. VANKAA,,ERNAKULAM,682024,universalpipespvc@yahoo.com,9846055020,,,,,1000786,MG06,Distributor,,1,-362253,,,,
UNITED TRADERS,MAHAJANWADI ROAD ,,YAVATMAL,445001,unitedtraders.ytl@gmail.com,9422165571,,,,,1000787,MG10,Distributor,,2000000,-1216945,,,,
UMAYAL PIPES SUPPLIERS,199 ANNA SALAI,,THANJAVUR,613001, , ,,,,,1000788,MG09,Distributor,,1,0,,,,
SHANTI MARKETING,SHANTI BHAVAN  HANUMAN CHOWK,,LATUR,413512,shantiltr@gmail.com, ,,,,,1000789,MG02,Distributor,,1500000,32331.1,,,,
UNISON ASSOCIATES,DOOR NO 9/721 SHOLAPUR BUILDING  CH,,CALICUT,673032, ,9846055020,,,,,1000790,MG06,Distributor,,1000000,19768,,,,
UEM INDIA PVT. LTD.,WINDSOR IT PARK  A-1 TOWER-B 2ND &,,GAUTAMBUDDHNAGAR,201301, , ,,,,,1000791,MG04,Distributor,,1,0,,,,
UEM INDIA PVT. LIMITED,NTPC-BONGAIGAON THERMAL POWER PROJE,,KOKRAJHAR,783370, , ,,,,,1000793,MG04,Distributor,,1,0,,,,
UMIYA MACHINERY STORES,295/2 OPP. SOCIETY PETROL PUMP  PUN,,KARAD,415110, , ,,,,,1000796,MG08,Distributor,,1,0,,,,
UPL LTD,750 746 G.I.D.C  P.O BOX NO.9 JHAGA,,BHARUCH,393110, , ,,,,,1000797,MG04,Distributor,,1,-361881.82,,,,
ACE DISTRIBUTORS,SOORAJ BUILDING MAHADEVESWARAM  KIL,,THIRUVANANTHAPURAM,695601,acedistributorstvm@gmail.com, ,,,,,1000057,MG06,Distributor,,1000000,-1214344,,,,
AMLOZ INFRAMART PVT LTD,ANUGRAHA COMPLEX  PUTHIYAKAV  KARUN,,KOLLAM,690518,acedistributorstvm@gmail.com, ,,,,,1000059,MG06,Distributor,,1,0,,,,
AKASVA INFRASTRUCTURE PVT. LTD.,D-5 GROUND FLOOR  SECTOR-10,,GAUTAMBUDDHNAGAR,201301,satyajit.sinha@akasva.com, ,,,,,1000061,MG08,Distributor,,1,-57840,,,,
AMBIKA AGENCIES,SHOP NO 15 & 16 SANTOSH APARTMENT ,,HUBLI,580020,saiujalapumps@gmail.com,9620616285,,,,,1000062,MG03,Distributor,,1000000,119978,,,,
BHARANI PIPES & TUBES (P) LTD.,279 SATHY ROAD  NEAR UNION BANK ,,ERODE,638003,info@bharanipipes.in,98427436239,,,,,1000086,MG09,Distributor,,2300000,-1755942.96,,,,
GLACIER POLYTECH,1-10-73  2ND FLOOR ABOVE HOUSE OF J,,HYDERABAD,500016,glacierpolytech@gmail.com, ,,,,,1000212,MG04,Distributor,,1,-12743,,,,
GULSHAN TRADING COMPANY,Q4 2ND CROSS  2ND MN VEERASANDRA IN,,BANGALORE,560099,gulshantradingcompany2005@gmail.com,99452725029,,,,,1000213,MG03,Distributor,,10000000,-14282025,,,,
GANAPATI ENTERPRISE,ANANDANAGAR BALLY HOWRAH ,,HOWRAH,711227,sujay_bally@rediffmail.com,9432286824,,,,,1000214,MG08,Distributor,,2000000,-95022,,,,
LAXMI TRADING COMPANY,724 NEAR PASCHIM MAHARASHTRA PATRA,,BUDHGAON,416304,laxmitradingcompanysangli@gmail.com, ,,,,,1000215,MG02,Distributor,,500000,0,,,,
GLACIER POLYTECH,PLOT NO.13/1  BESIDE UNICORN INDUST,,HYDERABAD,500003,glacierpolytech@gmail.com, ,,,,,1000216,MG04,Distributor,,1,-1069353,,,,
GALAXY ASSOCIATES,TMC / XI / 344    MASJID ROAD KOKKA,,THRISSUR,680021,mail@galaxyassociates.in, ,,,,,1000217,MG06,Distributor,,1000000,-2748040.59,,,,
G.N. EXPORTS,12  MANGOE LANE  DIST: KOLKATA (WES,,KOLKATA,700001,gn_exports11@yahoo.com,9831059847,,,,,1000218,MG08,Distributor,,2000000,100175,,,,
GLOBAL ENTERPRISES,5/803-B PITCHAMPALAYAM PUDUR  P.N.R,,TIRUPUR,641603,globalvcs@yahoo.in, ,,,,,1000219,MG09,Distributor,,1000000,-2869753,,,,
GAJAPATHY TRADERS,21 CHOKKA KOTHAN ST  KANSAMETTU ST ,,MADURAI,625001,gajapathytraders@ymail.com, ,,,,,1000220,MG09,Distributor,,1,-714849,,,,
GUPTA GENERAL STORE,OLD STATION BAZAR  DIST:KHORDHA,,BHUBANESWAR,751006,ggsanitary@gmail.com,9437072210,,,,,1000221,MG08,Distributor,,1,-3403959,,,,
GE INDIA INDUSTRIAL PVT. LTD.,DIV. GE WATER & PROCESS TECHNOLOGIE,,CHENNAI,600060, , ,,,,,1000222,MG04,Distributor,,1,-86246.86,,,,
GAYATRI HARDWARE,BAWALI CHOWK RAMKOLA ROAD  PADRAUNA,,KUSHINAGAR,274304, , ,,,,,1000223,MG07,Distributor,,1,-24019,,,,
HINDALCO INDUSTRIES LIMITED,P.O RENUKOOT,,SONEBHADRA,231218, , ,,,,,1000226,MG04,Distributor,,1,51886.33,,,,
HALDIA PETROCHEMICALS LTD,HPL LINK ROAD  DURGACHAK HALDIA,,PURBA MIDNAPORE,721602, , ,,,,,1000227,MG04,Distributor,,1,-84381,,,,
BUILDTEK POLYMERS PRIVATE LIMITED..,NO.26/B  BHARATHIYAR NAGAR  R.K.ROA,,HOSUR,635105,buildtechinc.hosur@gmail.com,9381162130,,,,,1000103,MG09,Distributor,,1500000,0,,,,
BUILDTEK POLYMERS PRIVATE LIMITED ,DOOR NO. 126-128  GROUND FLOOR  KAL,,COIMBATORE,641009,buildtechinc.cbe@gmail.com,7667655575,,,,,1000104,MG09,Distributor,,4200000,-4615031,,,,
BLUE STAR ELECTRO-MECHANICAL LIMITE,BLUE STAR HOUSE  9A  GHATKOPAR LINK,,MUMBAI,400072,prachikelkar@bluestarindia.com, ,,,,,1000105,MG10,Distributor,,1,-442045,,,,
BHAINI BOARING COMPANY,NR. OLD BUS STAND  TAPA-MANDI  DIST,,TAPA-MANDI,148108,puneetbbc@gmail.com,98550720949,,,,,1000106,MG08,Distributor,,1500000,71642,,,,
BANSAL TUBEWELL STORE,SHOP NO. S-49 OPP RAC 3RD GATE  SHR,,BIKANER,334002,vikeshbikaner.techno@gmail.com, ,,,,,1000107,MG08,Distributor,,2000000,36402,,,,
BHAVANI MARKETING COMPANY,NO: 156 KAMRAJ SALAI  BRINDHAVANAM ,,PONDICHERRY,605013,bmc_pondy@yahoo.co.in,9442621075,,,,,1000108,MG09,Distributor,,2000000,-3328472,,,,
ATUL TRADING CORPORATION,OLD POWER HOUSE  SHRIRAMPUR,,AHMEDNAGAR,413709,ms.atultrading@gmail.com, ,,,,,1000109,MG02,Distributor,,1000000,40691.73,,,,
BALAJEE UDYOG,SEVA SADAN ROAD  UPPER BAZAR ,,RANCHI,834001,balajee_udyog@rediffmail.com,9534207055,,,,,1000111,MG08,Distributor,,2500000,-490258,,,,
BLUE STAR ELECTRO-MECHANICAL LTD.,207 BANTIA ESTATE SIKH ROAD ,,SECUNDERABAD,500009,prachikelkar@bluestarindia.com, ,,,,,1000113,MG10,Distributor,,1,0,,,,
BUDHIA MACHINERIES,BUDHIA BUILDING  MAIN ROAD ,,RANCHI,834001,budhia_m@reiffmail.com,9431114257,,,,,1000115,MG08,Distributor,,1,97,,,,
BHAVANI PIPE CORPORATION,NO. 4/11 4/451 KALAIVANAR NAGAR  1S,,PATTANUR,605101,bpcpondy@gmail.com, ,,,,,1000116,MG09,Distributor,,1000000,-822752,,,,
HARISH COMBINE,418 SCH NO.114 PART 1 DEWAS NAKA  N,,INDORE,452010,harish_sanitations@yahoo.co.in,9425903672,,,,,1000228,MG08,Distributor,,24200000,-19793825,,,,
LATH ENTERPRISES,OLD STATION ROAD,,ROURKELA,769001,lathgroup@gmail.com, ,,,,,1000318,MG04,Distributor,,1,-1563,,,,
LANCO INFRATECH LTD.,EPC DIVISION  PLOT NO. 229  UDYOG V,,GURGAON,122016, , ,,,,,1000319,MG04,Distributor,,1,0,,,,
LARSEN & TOUBRO LTD MUMBAI,OGSP - E & C DIVN  EPC BLOCK  3RD F,,MUMBAI,400072, , ,,,,,1000320,MG04,Distributor,,1,0,,,,
L & T LTD.,IDA PROJECT GOMTINAGAR EXTENSION SE,,LUCKNOW,226010, , ,,,,,1000321,MG07,Distributor,,1,0,,,,
LARSEN & TOUBRO LTD-ECC DIVISION,A/O ARSHIYA INTERNATIONAL LIMITED F,,RAIGAD,410206, , ,,,,,1000322,MG10,Distributor,,1,-859574.58,,,,
LARSEN & TOUBRO LIMITED.,L&T EBG FACTORY N.H.NO-8  BETWEEN A,,VADODARA,390019, , ,,,,,1000324,MG08,Distributor,,1,0,,,,
LARSEN & TOUBRO LTD,VENDANTA ALUMINIUM  SMELTER PROJECT,,JHARSUGUDA,768201, , ,,,,,1000326,MG08,Distributor,,1,0,,,,
BHAVANI PIPE CORPORATION,NO: 156 1ST FLOOR  KAMRAJ SALAI  BR,,PONDICHERRY,605001, ,9443321075,,,,,1000087,MG09,Distributor,,1,108957,,,,
BOMBAY HARDWARE PVT. LTD.,NO.32 SEMBUDOSS STREET ,,CHENNAI,600001, ,9003081209,,,,,1000088,MG09,Distributor,,1,328,,,,
BHAVIK POLYMERS PRIVATE LIMITED,3459-60/9  GALI BAJRANGBALI  CHAWAR,,NEW DELHI,110006,accounts@bhavikpolymers.com, ,,,,,1000089,MG07,Distributor,,5000000,-3328538,,,,
BHAVIK POLYMERS PRIVATE LIMITED -GU,WARE HOUSE NO.1 SHIV ASHRAM COMPOUN,,GURGAON,122016,accounts@bhavikpolymers.com, ,,,,,1000090,MG07,Distributor,,1,0,,,,
BGR ENERGY SYSTEMS LTD,ENVIRONMENTAL ENGINEERING DIVISION ,,CHENNAI,600018, , ,,,,,1000091,MG04,Distributor,,1,-293449,,,,
THERMAX LTD WWS-SPG.,98-99 GENERAL BLOCK  MIDC BHOSARI ,,PUNE,411026, , ,,,,,1000092,MG02,Distributor,,1,0,,,,
BLUE STAR ELECTRO-MECHANICAL LTD.,NO.9  BAZULLAH ROAD T.NAGAR,,CHENNAI,600017,prachikelkar@bluestarindia.com, ,,,,,1000093,MG10,Distributor,,1,-297746,,,,
SOBHA DEVELOPERS LIMITED..,C/O INFOSYS LIMITED  RAJIVGANDHI IN,,PUNE,411057, , ,,,,,1000094,MG02,Distributor,,1,0,,,,
BHAVIK POLYMERS PRIVATE LTD.,PLOT NO. 586  OPP. MAA GANGA VIDYAL,,NEW DELHI,110038,accounts@bhavikpolymers.com, ,,,,,1000095,MG07,Distributor,,20000000,-45638139.06,,,,
BLUE STAR ELECTRO-MECHANICAL LTD,307-A OBEROI CHAMBER  NEW LINK ROAD,,MUMBAI,400053,prachikelkar@bluestarindia.com, ,,,,,1000096,MG10,Distributor,,1,0,,,,
BGR ENERGY SYSTEMS LIMITED,A/C RRVUNL RAJASTHAN  443  ANNA SAL,,CHENNAI,600018, , ,,,,,1000097,MG04,Distributor,,1,-2835256,,,,
SHREE BALAJI TRADERS,38/102 DESHBANDHU WARD  STATION ROA,,GONDIA,441601,gndbalajitraders@gmail.com,93268113169,,,,,1000098,MG10,Distributor,,2000000,21490.54,,,,
BHOJESHWAR REALTORS PVT LTD,SALARPURIA WINDSOR NO. 3  ULSOOR RO,,BANGALORE,560042, ,9620215260,,,,,1000099,MG03,Distributor,,1,-174379,,,,
BUILDTEK POLYMERS PRIVATE LIMITED,NO.17  SRINIVASA NILAYA  5TH CROSS ,,BANGALORE,560019, ,9880395875,,,,,1000100,MG03,Distributor,,30000000,-15911836,,,,
BUILDTEK POLYMERS PRIVATE LIMITED.-,NO.17  SRINIVASA NILAYA  5TH CROSS ,,BANGALORE,560019, ,9880395875,,,,,1000101,MG03,Distributor,,1,-31454326,,,,
BUILDTEK POLYMERS PRIVATE LIMITED.,SHOP NO: 10 1ST FLOOR 39/40  SEMBUD,,CHENNAI,600001,buildtechinc.chennai@gmail.com,9994245757,,,,,1000102,MG09,Distributor,,20000000,-19697434.04,,,,
B R ENTERPRISES,94 KAVERI VIHAR 2 SAMSHABAD ROAD ,,AGRA,282001, , ,,,,,1000110,MG07,Distributor,,1500000,-41,,,,
BHAGWATI DISTRIBUTORS,RATU ROAD ,,RANCHI,834001, ,9431155310,,,,,1000112,MG08,Distributor,,1,0,,,,
BM HOME CARE,PLOT NO-D (COLD STORAGE)  AIGANIA W,,BHUBANESWAR,751019, , ,,,,,1000114,MG08,Distributor,,2000000,0,,,,
BIJAY KUMAR AGARWAL,NO.3 ULSOOR ROAD ,,BANGALORE,560008, , ,,,,,1000117,MG03,Distributor,,1,-10721,,,,
ANAND ENTERPRISES,RISHABH COMPLEX  M.G.ROAD ,,RAIPUR,492001,anandentryp@yahoo.com,9826144880,,,,,1000020,MG08,Distributor,,8000000,-3205013,,,,
ALLIED AGENCIES,43A/2 MEDICAL COLLEGE ROAD  OPP. CS,,NAGARCOIL,629001,alliedngl@gmail.com,94868555547,,,,,1000021,MG09,Distributor,,1500000,-947660,,,,
AQUA DESIGNS INDIA LIMITED,OFF 200 FEET ROAD,,CHENNAI,600099, , ,,,,,1000022,MG04,Distributor,,1,-736359,,,,
ADANI POWER LTD  ADANI POWER SEZ,MUNDRA THERMAL POWER PLANT  THUNDA,,MUNDRA,370435, , ,,,,,1000023,MG04,Distributor,,1,-1814971.8,,,,
ASST.MANAGER-PURCHASE & STORES - BA,TATA CHEMICALS LIMITED  DIST. BADAU,,BABRALA,242021, , ,,,,,1000024,MG07,Distributor,,1,-140028,,,,
ANOOP TRADERS,OPP. BHARAT TALKIES ,,BHOPAL,462001,anoop_jb@yahoo.in,9425009460,,,,,1000025,MG08,Distributor,,6700000,-423125.05,,,,
